Product Name,Price,Rating,Reviews,Discount,Availability,Delivery Date
"(Refurbished) Lenovo Thinkpad X13 Intel Core i5 10th Gen 13.3"" (33.8 cm) HD Laptop (16 GB RAM|256 GB SSD|Intel UHD Graphics)|Wi-Fi|Windows 11|Thin & Light Laptop|MS Office,Black","₹19,999",4.4,3,(78% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Friday, 28 February. Details"
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, 15.6-Inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA Geforce RTX 3050/Windows 11/48WHR/Graphite Black/2.3 Kg), FA506NCR-HN054W","₹63,990",4.0,432,(24% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 10 mins. Details"
"HP 15, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Iris Xe Graphics, FHD Camera, Backlit KB, fd0316TU/fd0315TU","₹54,990",3.6,138,(23% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 10 mins. Details"
"HP 15, AMD Ryzen 3 7320U, 8GB LPDDR5, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch (39.6 cm), FHD, AMD Radeon Graphics, 1080p HD Camera, (Win 11, Silver, 1.59 kg), fc0154AU","₹30,039",4.1,"1,489",(35% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 9 mins. Details"
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","₹15,990",3.6,"3,183",(54% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 9 mins. Details"
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu","₹36,490",4.1,"1,166",(29% off),In stock,"FREE delivery Saturday, 1 March. Details"
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/Backlit KB/1 Yr ADP Free/Grey/1.6Kg), 83ER008DIN","₹51,150",3.9,95,(34% off),In stock,"FREE delivery Saturday, 1 March. Order within 21 hrs 24 mins. Details"
"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.5cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Intel Arc GPU/Win11/MSO 21/FHD+IR Cam/1Yr ADP Free/Grey/1.4Kg), 83D2001GIN","₹1,10,990",4.2,92,(24% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 9 mins. Details"
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU","₹41,990",3.1,14,(26% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 8 mins. Details"
"Dell Vostro 15 3520 Laptop - 15.6 inch (39.62cm) FHD Display, Intel Core i5-1235U, 8 GB RAM, 512 GB SSD, Titan Grey, 1.69Kg, Ideal for Business Users, Perfect for Productivity and Collaboration","₹46,490",3.6,358,(26% off),In stock,"FREE delivery Friday, 28 February. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 8 mins. Details"
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home 2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN","₹64,490",3.9,771,(26% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 8 mins. Details"
"(Refurbished) Dell Latitude Laptop 5400 Intel Core i5 Mobile-8th Gen -Processor , 16 GB Ram & 512 GB SSD, 14 Inches FHD 1080p Screen Notebook Computer","₹17,875",3.3,165,(74% off),In stock,"FREE delivery Saturday, 1 March. Order within 23 hrs 22 mins. Details"
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","₹23,990",3.3,240,(29% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 7 mins. Details"
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU","₹39,590",4.1,"1,923",(24% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 7 mins. Details"
"HP 15 AMD Ryzen 3 7320U (8GB Ram/512GB SSD/Fhd/15.6"" (39.6 Cm)/Backlit Keyboard/Windows 11/Ms Office 21/1.59Kg/Silver) Fc0026Au Laptop","₹31,022",4.0,67,(33% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 7 mins. Details"
"Dell Inspiron 3535, Windows 11 Home, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/Ms Office' 21/15.6""(39.62 Cm) FHD Display/15 Month Mcafee/Carbon Black/1.67Kg Thin & Light Laptop","₹29,490",3.9,74,(24% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 7 mins. Details"
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU","₹41,990",3.1,14,(26% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 7 mins. Details"
"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","₹28,999",3.9,"1,052",(40% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 6 mins. Details"
"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu","₹49,990",3.9,327,(20% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 6 mins. Details"
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i3-1305U 15.6 inch (39.6cm) FHD Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 82X700C8IN","₹37,200",4.0,468,(34% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 6 mins. Details"
"(Refurbished) Lenovo ThinkPad T490 8th Gen Intel Core i7 Thin & Light FHD Touchscreen Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11 Pro/MS Office/WiFi/Webcam/2 GB Nvidia Graphics)","₹26,999",3.5,2,(78% off),In stock,"FREE delivery Wednesday, 5 March. Order within 22 hrs 51 mins. Details"
"(Refurbished) Dell E5290, 8th Gen, Intel Core i5-8250U, 16GB DDR4 RAM, 512GB SSD, (Win 11, MS Office, Black, 1.4kg) 12.5"" (31.8cm) HD, Intel UHD Graphics, HD Camera, Thin & Light Business Laptop","₹18,999",N/A,N/A,(79% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Friday, 28 February. Details"
"HP 15S AMD Ryzen 5000 (16GB Ram/512GB SSD/Fhd/Windows 11/Ms Office 21/Backlit Keyboard/ 15.6"" (39.6 Cm)/Silver/2.21 Kg) Eq2305Au/Eq2182Au Laptop","₹40,990",4.0,862,(31% off),In stock,"FREE delivery Saturday, 1 March. Details"
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch (39.6cm) FHD Laptop, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU","₹34,990",3.8,90,(29% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 5 mins. Details"
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN","₹24,490",3.7,272,(42% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 5 mins. Details"
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS","₹40,990",4.0,127,(33% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 5 mins. Details"
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","₹54,100",3.8,24,(35% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 5 mins. Details"
"ASUS Vivobook Go 14, Thin and Light Laptop, AMD Ryzen 3 7320U, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS","₹31,990",4.0,85,(37% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 5 mins. Details"
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4 + 512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Win 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg","₹51,990",3.7,878,(23% off),In stock,"FREE delivery Saturday, 1 March. Details"
"Dell Inspiron 15 3535 Laptop - 15.6 inch FHD (39.62cm) Display, AMD Ryzen 5 7520U, 8 GB RAM, 512 GB SSD, Carbon Black, 1.67Kg, Ideal for Students, Perfect for Learning and Productivity","₹39,490",4.3,14,(19% off),In stock,"FREE delivery Saturday, 1 March. Details"
"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light","₹34,990",3.7,878,(29% off),In stock,"FREE delivery Friday, 28 February. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 4 mins. Details"
"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Win 11/Office 2021/Backlit KB/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FKIN","₹35,990",4.0,468,(35% off),In stock,"FREE delivery Friday, 28 February. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 4 mins. Details"
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","₹21,226",3.9,445,(73% off),In stock,"FREE delivery Sunday, 2 March. Details"
"HP 15s, AMD Ryzen 5 5500U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, HD Camera, Dual Speakers, eq2144AU","₹37,732",4.1,"1,065",(38% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 3 mins. Details"
"Lenovo V15 G3 (2024), Intel Core i3 12th Gen 1215U - (8GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Iron Grey/1.7 kg/MS Office 2021","₹31,990",5.0,1,(55% off),In stock,"FREE delivery Sunday, 2 March. Details"
"(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 16 GB Ram & 512 GB SSD, 14 Inches Notebook Computer","₹17,299",2.8,73,(71% off),In stock,"FREE delivery Wednesday, 5 March. Order within 21 hrs 48 mins. Details"
"Lenovo V15 G4, AMD Ryzen 5 7520U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Business Laptop/15.6"" FHD Display/Arctic Grey/1.57 kg","₹31,928",4.6,5,(61% off),In stock,"FREE delivery Sunday, 2 March. Details"
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (8GB RAM/512GB/Windows11/Office 2021/Blue/1.7 kg), X1502ZA-EJ523WS","₹46,990",4.1,161,(34% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 3 mins. Details"
"Lenovo IdeaPad Slim 1 Intel® Celeron® N4020 15.6 inch (39.6cm) Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home & Student 2021/1Yr ADP Free/Grey/1.3Kg), 82V700KHIN","₹23,450",3.7,272,(54% off),In stock,"FREE delivery Sunday, 2 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 3 mins. Details"
"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA IPS 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Backlit Keyboard/Arctic Grey/1.7 Kg), 21KHA081IN","₹57,990",5.0,3,(42% off),Only 2 left in stock.,"FREE delivery Saturday, 1 March. Order within 17 hrs 47 mins. Details"
"ASUS VivoBook 15 (2022), Intel®Core i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021//Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS","₹31,990",4.0,131,(42% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 2 mins. Details"
"Lenovo IdeaPad Slim 3 AMD Ryzen™ 5 7520U 14"" FHD (1920x1080) Anti-Glare Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/1Yr Warranty/Arctic Grey/1.37Kg), 82XN006TIN","₹40,190",4.5,2,(26% off),Only 1 left in stock.,FREE delivery
"Acer Chromebook CB315-4H Intel Celeron N4500 (Chrome OS/8 GB RAM/128 GB/WiFi 6) 39.6 cm (15.6"") Full HD, Silver, 1.6 KG, 3 Months Google One AI Premium Plan with Gemini Advanced & 2TB Cloud Storage","₹18,500",3.7,82,(50% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 2 mins. Details"
"ASUS Vivobook 16"" FHD+ (1920 X 1200), 60Hz 300Nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11/Office Home/Fingerprint/42Whr Battery/Transparent Silver/1.88Kg), X1605ZAC-MB541WS","₹53,990",3.8,68,(23% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 2 mins. Details"
"Walker Thin & Light Laptop,14.1""(4GB RAM,128GB SSD)| FHD IPS Display 1920 * 1080 Resolution | Celeron Processor N4020 (Gemini Lake)| UHD Graphics 600|Webcam | Windows 11 Home | Champagne Gold","₹12,990",3.6,94,(57% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 2 mins. Details"
"ASUS ROG Strix G16 (2023) Gaming Laptop, 90WHr Battery, Intel Core i9-13980HX 13th Gen, 16"" QHD+ 240Hz, 8GB RTX 4060 (16GB/1TB SSD/Windows 11/Office 2021/4-Zone RGB/Grey/2.50 kg), G614JV-N414 (14 kg),","₹1,59,990",4.0,22,(11% off),Only 2 left in stock.,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 1 min. Details"
"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light","₹34,990",3.7,878,(29% off),In stock,"FREE delivery Friday, 28 February. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 1 min. Details"
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray","₹39,990",3.9,232,(49% off),In stock,"FREE delivery Saturday, 1 March. Details"
"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021/Backlit KB/Cool Silver/1.7 kg), X1504ZA-NJ322WS","₹31,950",4.4,71,(42% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 1 min. Details"
"Lenovo IdeaPad Slim 3 12th Gen Intel® Core™ i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB/512GB SSD/Windows 11/Office 2024/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 83ER00KPIN","₹50,675",4.0,241,(29% off),In stock,"FREE delivery Sunday, 2 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 1 min. Details"
"HP 15s, AMD Ryzen 5 5500U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, HD Camera, Dual Speakers, eq2144AU","₹37,732",4.1,"1,065",(38% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 1 min. Details"
"Lenovo IdeaPad Slim 1 AMD Ryzen 7 5700U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1 Year Warranty + 1 Year ADP/Cloud Grey/1.6Kg), 82R400EFIN","₹44,490",3.8,6,(40% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs. Details"
"ASUS Vivobook 15, Core i3-1215U 12th Gen, Thin and Light Laptop, 15.6"" FHD, 60Hz (8 GB RAM/512GB SSD/Windows11/Office 2021/42WHr /Silver/1.40 kg), X1504ZA-NJ322WS","₹31,990",3.7,331,(44% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs. Details"
"Lenovo IdeaPad Slim 3 12th Gen Intel® Core™ i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB/512GB SSD/Windows 11/Office 2024/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 83ER00KPIN","₹50,675",4.0,241,(29% off),In stock,"FREE delivery Sunday, 2 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs. Details"
"Lenovo IdeaPad Slim 3 12th Gen Intel® Core™ i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB/512GB SSD/Windows 11/Office 2024/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 83ER00KPIN","₹50,675",4.0,241,(29% off),In stock,"FREE delivery Sunday, 2 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs. Details"
"(Refurbished) HP EliteBook 820 G4 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel HD Graphics)","₹16,400",3.8,391,(82% off),In stock,"FREE delivery Wednesday, 5 March. Order within 21 hrs 45 mins. Details"
"HP Pavilion 14, 12th Gen Intel Core i7-1255U, 16GB DDR4, 1TB SSD, (Win11, Office21, Silver,1.41 kg), IPS, Micro-edge, BrightView,14-inch (35.6cm) FHD Laptop, Intel Iris Xe graphics, HD camera,dv2015TU","₹75,990",4.0,683,(22% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs. Details"
"ASUS VivoBook 15 (2022), Intel®Core i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021//Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS","₹31,990",4.0,131,(42% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 9 hrs 59 mins. Details"
"HP Laptop 245 G9 (2024), AMD Ryzen 3 3250U Dual Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/MS Office 2021","₹28,030",3.0,3,(45% off),In stock,"FREE delivery Saturday, 1 March. Details"
