Product Name,Price,Rating,Reviews,Discount,Availability,Delivery Date
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.46Kg), 83BF000UIN","₹60,190",3.9,771,(20% off),In stock,"FREE delivery Saturday, 1 March. Details"
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr Warranty/Alexa built-in/3 mon. Game Pass/Grey/1.37Kg), 83EQ005VIN","₹54,090",3.9,462,(23% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 12 mins. Details"
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","₹34,490",3.9,"1,052",(42% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 12 mins. Details"
(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),"₹17,498",3.3,236,(65% off),In stock,"FREE delivery Sunday, 2 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 12 mins. Details"
"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu","₹49,990",3.9,327,(20% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 12 mins. Details"
"HP 255 G10 AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)","₹30,850",4.0,9,(27% off),In stock,"FREE delivery Saturday, 1 March. Details"
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fy5010tu","₹30,999",4.0,104,(20% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 11 mins. Details"
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","₹64,990",4.6,"6,409",(30% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 11 mins. Details"
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey","₹39,990",4.1,62,(32% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 11 mins. Details"
"(Refurbished) Dell 5400, 8th Gen, Intel Core i7-8650U, 16GB DDR4 RAM, 256GB SSD, (Win 11, MS Office, Black, 1.48kg) 14"" (35.6cm) Touchscreen FHD, Intel UHD Graphics, HD Camera, Thin & Light Laptop","₹24,999",N/A,N/A,(72% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Friday, 28 February. Details"
"Lenovo IdeaPad Slim 3 12th Gen Intel® Core™ i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB/512GB SSD/Windows 11/Office 2024/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 83ER00KPIN","₹50,675",4.0,241,(29% off),In stock,"FREE delivery Sunday, 2 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 11 mins. Details"
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU","₹41,990",3.1,14,(26% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 10 mins. Details"
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","₹58,900",4.1,210,(19% off),In stock,"FREE delivery Saturday, 1 March. Details
Or fastest delivery Thursday, 27 February. Order within 10 hrs 10 mins. Details"
Lenovo V14 i5 8th Gen/4GB/256GB SSD/DOS,"₹35,480",3.8,32,(63% off),In stock,"FREE delivery Saturday, 1 March. Details"
